Cell,BestBatchIdx,STRFGain,STRFLatency,OutputAdaptation,On__ROnGSYN,Off__ROnGSYN,On__SOnOffGSYN,Off__SOnOffGSYN,SOnOff__ROnGSYN
96,7,0.015418404713273,0.00356914801523089,0.00857668370008469,0.0606871917843819,0.0465501323342323,0.234936162829399,0.203513473272324,0.0759536549448967
97,11,0.0514356158673763,0.022756265476346,0.0121507532894611,0.022363293915987,0.000764304306358099,0.00768746202811599,0.00010524378012633,0.284582197666168
98,7,0.0224425699561834,9.99999974737875e-05,0.00877081137150526,0.0479866527020931,0.00129364524036646,0.109609559178352,0.144139066338539,0.179963544011116
99,12,0.0125018963590264,0.00300508365035057,0.00293306587263942,0.0401895120739937,0.047887846827507,0.195184409618378,0.256455600261688,0.153955265879631
100,5,0.00675187166780233,0.00453610951080918,0.0124112730845809,0.070962093770504,0.00723533611744642,0.220722198486328,0.257590591907501,0.126030221581459
101,7,0.0111982449889183,0.00756584107875824,0.00584886409342289,0.0141984298825264,0.0628418028354645,0.0279887933284044,0.263275474309921,0.198376327753067
102,13,0.00661839731037617,0.0139068756252527,0.00780834350734949,0.0200782213360071,0.0541617162525654,0.384370088577271,0.0896650031208992,0.192970514297485
103,4,0.00949863251298666,0.0056380545720458,0.0101633900776505,0.0320139713585377,0.0472996048629284,0.290543138980865,0.284063696861267,0.243001416325569
104,9,0.0563340596854687,0.0222128387540579,0.0138823688030243,0.010904754512012,0.0012464834144339,0,6.10324013550212e-09,0.116398528218269
105,5,0.00253082648850977,0.00484327925369143,0.0116858594119549,0.071089543402195,0.0884496867656708,0.297407180070877,0.288742780685425,0.0565549917519093
106,8,0.0213263090699911,0.0112074296921492,0.00880067609250546,0.010750338435173,0.043188065290451,0,0.31544753909111,0.198692351579666
107,10,0.0240063164383173,0.0150202009826899,0.0109508689492941,0.0188053213059902,0.00219698576256633,0.378604859113693,0,0.256245225667953
